date,country,iso3,total_articles,gpr_articles,country_gpr_articles,raw_share,index
2025-01-01,Canada,CAN,369,47,47,0.12737127371273713,122.22412786174004
2025-01-02,Canada,CAN,513,93,93,0.18128654970760233,173.96065678865799
2025-01-03,Canada,CAN,554,71,71,0.12815884476534295,122.97987271870832
2025-01-04,Canada,CAN,455,57,57,0.12527472527472527,120.21230214243528
2025-01-05,Canada,CAN,197,26,26,0.1319796954314721,126.64632062917529
2025-01-06,Canada,CAN,478,64,64,0.13389121338912133,128.4805930554105
2025-01-07,Canada,CAN,534,44,44,0.08239700374531835,79.06729380680576
2025-01-08,Canada,CAN,648,44,44,0.06790123456790123,65.15730693338624
2025-01-09,Canada,CAN,596,45,45,0.07550335570469799,72.45222201714242
2025-01-10,Canada,CAN,653,46,46,0.07044410413476264,67.59741769004515
2025-01-11,Canada,CAN,536,37,37,0.06902985074626866,66.2403150879778
2025-01-12,Canada,CAN,228,16,16,0.07017543859649122,67.33960907948051
2025-01-13,Canada,CAN,560,46,46,0.08214285714285714,78.8234174135705
2025-01-14,Canada,CAN,593,42,42,0.07082630691399663,67.96417543687873
2025-01-15,Canada,CAN,678,58,58,0.0855457227138643,82.08877124511895
2025-01-16,Canada,CAN,663,59,59,0.0889894419306184,85.3933278032779
2025-01-17,Canada,CAN,705,65,65,0.09219858156028368,88.47278426931749
2025-01-18,Canada,CAN,589,46,46,0.07809847198641766,74.94246816909929
2025-01-19,Canada,CAN,226,33,33,0.14601769911504425,140.1170405735651
2025-01-20,Canada,CAN,545,64,64,0.11743119266055047,112.68573115685547
2025-01-21,Canada,CAN,600,59,59,0.09833333333333333,94.35962722262207
2025-01-22,Canada,CAN,683,90,90,0.13177159590043924,126.4466305189367
2025-01-23,Canada,CAN,641,65,65,0.10140405616224649,97.30626038981096
2025-01-24,Canada,CAN,707,74,74,0.10466760961810467,100.43793178827754
2025-01-25,Canada,CAN,547,41,41,0.07495429616087751,71.92535028279066
2025-01-26,Canada,CAN,232,20,20,0.08620689655172414,82.72322667091358
2025-01-27,Canada,CAN,612,78,78,0.12745098039215685,122.3006135487624
2025-01-28,Canada,CAN,588,64,64,0.10884353741496598,104.44510796001059
2025-01-29,Canada,CAN,636,58,58,0.09119496855345911,87.50972783677774
2025-01-30,Canada,CAN,671,75,75,0.11177347242921014,107.25664262845724
2025-01-31,Canada,CAN,663,53,53,0.07993966817496229,76.70926056904625
2025-02-01,Canada,CAN,572,49,49,0.08566433566433566,82.20259097857915
2025-02-02,Canada,CAN,270,24,24,0.08888888888888889,85.29683816734199
2025-02-03,Canada,CAN,579,66,66,0.11398963730569948,109.3832510177054
2025-02-04,Canada,CAN,578,49,49,0.0847750865051903,81.3492768853759
2025-02-05,Canada,CAN,676,69,69,0.10207100591715976,97.94625832455506
2025-02-06,Canada,CAN,632,61,61,0.09651898734177215,92.61859998787727
2025-02-07,Canada,CAN,611,53,53,0.0867430441898527,83.23770827705019
2025-02-08,Canada,CAN,554,41,41,0.0740072202166065,71.01654621784566
2025-02-09,Canada,CAN,179,15,15,0.08379888268156424,80.41252201530146
2025-02-10,Canada,CAN,487,52,52,0.10677618069815195,102.46129430779274
2025-02-11,Canada,CAN,624,48,48,0.07692307692307693,73.81457149096904
2025-02-12,Canada,CAN,587,39,39,0.06643952299829642,63.75466396238721
2025-02-13,Canada,CAN,609,42,42,0.06896551724137931,66.17858133673086
2025-02-14,Canada,CAN,689,67,67,0.09724238026124818,93.31276018669669
2025-02-15,Canada,CAN,545,51,51,0.09357798165137615,89.7964420156192
2025-02-16,Canada,CAN,226,33,33,0.14601769911504425,140.1170405735651
2025-02-17,Canada,CAN,466,46,46,0.09871244635193133,94.72342006781004
2025-02-18,Canada,CAN,587,60,60,0.10221465076660988,98.08409840367264
2025-02-19,Canada,CAN,637,64,64,0.10047095761381476,96.41086888616364
2025-02-20,Canada,CAN,586,84,84,0.14334470989761092,137.55206837566243
2025-02-21,Canada,CAN,665,70,70,0.10526315789473684,101.00941361922078
2025-02-22,Canada,CAN,557,63,63,0.11310592459605028,108.53524964291496
2025-02-23,Canada,CAN,242,28,28,0.11570247933884298,111.02687612691209
2025-02-24,Canada,CAN,556,77,77,0.13848920863309352,132.8927806878777
2025-02-25,Canada,CAN,574,67,67,0.11672473867595819,112.00782538089551
2025-02-26,Canada,CAN,606,57,57,0.09405940594059406,90.25841167460075
2025-02-27,Canada,CAN,649,46,46,0.07087827426810478,68.0140427605539
2025-02-28,Canada,CAN,657,49,49,0.0745814307458143,71.56755257191365
